gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Zdhhc14,8.4838573513822,0.0410213007197513,0.185901267018143,0.343494278904963,0.993518557544854
Mthfsl,13.456734584497,0.0409587332710494,0.169520316164964,0.378109106115795,0.993518557544854
Msmo1,19.4599872470756,0.0409284508619908,0.159044518786019,0.401366945864117,0.993518557544854
Kctd1,6.31003200144047,0.0408503690236166,0.221652014473404,0.312892115897136,0.993518557544854
Nsl1,10.787796624447,0.0407829739091558,0.1811468120046,0.354154721392966,0.993518557544854
Micu1,22.5912514402592,0.0407416270668077,0.155228333420699,0.409767571363235,0.993518557544854
Ubxn1,137.589688778667,0.0407223143034875,0.107578521603056,0.352379418341681,0.993518557544854
Cep128,12.4543174979977,0.0406803046389439,0.173393137143026,0.371528953193466,0.993518557544854
Sec61b,197.444803889361,0.0406640378617487,0.100075284430177,0.317714629104328,0.993518557544854
Rftn1,55.7077876916929,0.0406202795189893,0.129445073563735,0.414126331337883,0.993518557544854
Chchd6,21.2313039818534,0.0405693486123588,0.177109772896364,0.364236794363202,0.993518557544854
Dgcr6,10.9718562008675,0.040567309588146,0.175855143391857,0.366978275700883,0.993518557544854
Rab12,14.1332983365887,0.0405201947612033,0.167271407428798,0.387107596935303,0.993518557544854
Nudt21,21.9279353440734,0.0404917869430003,0.156570445538219,0.409793076489297,0.993518557544854
Mtmr2,32.8848539335101,0.0404909690257813,0.147609582595011,0.421185845001311,0.993518557544854
Cenpl,15.2768446867642,0.040476238858944,0.167157891655252,0.387752364898215,0.993518557544854
Dym,16.9501477897827,0.0404480392407566,0.16232164549051,0.398903824678175,0.993518557544854
Alkbh7,14.4554751766346,0.0404281660251846,0.166332382885563,0.39008227530136,0.993518557544854
Sltm,46.8840420292937,0.040352552685573,0.132644484525113,0.420783332710453,0.993518557544854
Cchcr1,11.297136716536,0.0403392006689434,0.174439464515902,0.37207333849859,0.993518557544854
Rrp1b,12.4884705209412,0.0403198203111297,0.17342902958621,0.374528249521724,0.993518557544854
Emd,44.3474989674781,0.040299239071176,0.138920239332694,0.425300563718912,0.993518557544854
Flot1,20.4525771563212,0.0402862144751441,0.157230279000316,0.410488218020416,0.993518557544854
Sf3b5,85.1899927115537,0.0402720812208076,0.127005760928762,0.414043172009061,0.993518557544854
Vamp8,91.7730042623085,0.0402704090465377,0.119679782992125,0.398487942013694,0.993518557544854
Lamtor1,51.3273921124417,0.0402012046187595,0.134989049660475,0.424366893388498,0.993518557544854
Ap1s2,10.6299271943784,0.0401866804868501,0.177809135799711,0.366012170425512,0.993518557544854
Hdlbp,45.5374108397998,0.0401429263643306,0.134585962779909,0.424663078039765,0.993518557544854
